#Dybde	Densitet
64.3499999999999 785.246215609627
64.3499999999999 796.632095971294
64.8999999999999 796.632095971294
64.8999999999999 775.757981974905
65.4499999999999 775.757981974905
65.4499999999999 779.553275428794
65.9999999999999 779.553275428794
65.9999999999999 783.348568882683
66.5499999999999 783.348568882683
66.5499999999999 794.73444924435
67.0999999999999 794.73444924435
67.0999999999999 793.216331862794
67.6499999999998 793.216331862794
67.6499999999998 792.836802517405
68.1999999999998 792.836802517405
68.1999999999998 800.806918770572
68.7499999999998 800.806918770572
68.7499999999998 808.017976332961
69.2999999999998 808.017976332961
69.2999999999998 804.222682879072
69.8499999999998 804.222682879072
69.8499999999998 802.325036152128
70.3999999999998 802.325036152128
70.3999999999998 798.529742698239
70.9499999999998 798.529742698239
70.9499999999998 806.120329606017
71.4999999999998 806.120329606017
